OriginCRS,DestinationCRS,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
BTN,VIC,1809147,1788063,299098,922606,832501,913969,900840
BTN,BFR,162917,171480,58906,112764,612997,643629,660290
BTN,LBG,352490,355548,66337,188401,533193,550210,542347
BTN,GTW,390798,385787,55773,187832,302489,335582,352748
BTN,HHE,350090,367210,104758,274866,325619,334996,349116
BTN,FMR,339770,334574,70749,223814,261184,273123,308016
BTN,LWS,253941,264398,88762,217279,224030,234099,258197
BTN,ECR,265054,253700,85408,199965,240731,230439,232923
BTN,WRH,274431,268244,72947,181336,199875,203578,230683
BTN,BUG,243264,265099,77226,180096,206220,198491,213346
BTN,HSK,173834,184670,56165,135720,154904,162973,175366
BTN,EBN,172649,156637,51295,141503,160891,167698,174058
BTN,SSE,165780,173986,47295,123334,135346,142871,160838
BTN,ZFD,55359,48505,6517,15509,128213,142633,156132
BTN,TBD,106193,106325,31940,88989,101405,104275,118926
BTN,LAC,117821,121388,36722,85178,98714,102679,114629
BTN,HOV,124896,123213,50285,103974,112801,109740,109267
BTN,PRP,34952,38181,27425,71640,84110,96708,102699
BTN,CTK,118121,101997,13435,43802,87332,94619,97344
BTN,PLD,104101,112084,33362,73389,76347,85193,95887
BTN,WWO,99837,109381,20237,60207,69354,72205,83055
BTN,CLJ,116505,113486,32245,63304,65183,75986,72029
BTN,STP,262445,253046,48966,147322,67149,61915,70495
BTN,SEF,66301,68075,19425,55870,61796,63941,70406
BTN,PLG,64216,62221,17263,54639,63369,65003,68950
BTN,CCH,74469,71827,18062,49255,59647,62776,66877
BTN,ANG,62071,65854,16939,48606,52418,54313,63544
BTN,MCB,57111,57175,14453,43790,43105,48601,57151
BTN,HGS,111481,129671,18309,47417,51196,49067,54121
BTN,EWR,42938,44422,11019,37399,41882,43604,52832
BTN,SWK,54710,56337,17774,39813,41884,44239,50965
BTN,DUR,67108,68024,12194,31733,40392,42696,48622
BTN,WVF,54902,59489,15448,38290,45898,44583,46996
BTN,HRH,44522,44170,11807,35106,40973,41031,43665
BTN,SOU,38968,38229,10507,33269,37150,34037,35345
BTN,GBS,43081,40580,9403,26309,28492,30200,35190
BTN,SLQ,29627,30238,7113,23129,26108,26235,30129
BTN,HMD,17999,19256,6459,21904,24025,25644,29976
BTN,BEX,27641,30418,7832,25861,27944,27125,29749
BTN,BOG,31538,29426,9188,25465,27816,26722,29706
BTN,NVN,20413,23681,7772,21873,24572,27765,29374
BTN,HAV,31300,29646,7156,22395,25288,25013,28373
BTN,LIT,37023,34632,9879,24441,25134,26445,28259
BTN,CRW,38866,35963,11792,23702,25832,27336,27821
BTN,FPK,3879,10302,7531,19047,27069,24005,27403
BTN,LRB,19436,22556,11344,20995,22113,24651,26884
BTN,CBG,18463,22592,5706,18639,28109,26578,26884
BTN,RDH,36715,33017,6646,18662,24603,24672,25049
BTN,BAA,24967,25187,6119,20987,21982,22977,24003
