Network,TOC,Name,CRS,Latitude,Longitude
National Rail,Great Western Railway,Swindon,SWI,51.5657001,-1.7852844
National Rail,Govia Thameslink Railway (Great Northern),Royston,RYS,52.0532089,-0.0269749
National Rail,South Western Railway,Beaulieu Road,BEU,50.8550478,-1.5049707
National Rail,South Western Railway,Sway,SWY,50.7847131,-1.6099505
National Rail,South Western Railway,New Milton,NWM,50.7557623,-1.6576697
National Rail,West Midlands Trains (West Midlands Railway),Canley,CNL,52.3993806,-1.5475333
National Rail,Transport for Wales,Rhyl,RHL,53.3181979,-3.4887917
National Rail,Northern Trains,Sandal and Agbrigg,SNA,53.6628109,-1.480623
National Rail,East Midlands Railway,Wellingborough,WEL,52.3037832,-0.6762814
National Rail,Northern Trains,Ulleskelf,ULL,53.853331,-1.2143782
National Rail,Northern Trains,Adwick,AWK,53.5719324,-1.1798897
National Rail,Northern Trains,Elsecar,ELR,53.4986826,-1.427499
National Rail,Northern Trains,Dodworth,DOD,53.5442059,-1.5320346
National Rail,South Western Railway,Bursledon,BUO,50.8835729,-1.305111
National Rail,South Western Railway,Walton-on-Thames,WAL,51.3728758,-0.4143083
National Rail,West Midlands Trains (West Midlands Railway),Erdington,ERD,52.5283826,-1.8394444
National Rail,West Midlands Trains (West Midlands Railway),Chester Road,CRD,52.5359496,-1.8324115
National Rail,West Midlands Trains (West Midlands Railway),Sutton Coldfield,SUT,52.564801,-1.8251772
National Rail,West Midlands Trains (West Midlands Railway),Gravelly Hill,GVH,52.5153884,-1.8527437
National Rail,Northern Trains,Ardwick,ADK,53.4711613,-2.2132093
National Rail,South Western Railway,Romsey,ROM,50.9927043,-1.4932507
National Rail,South Western Railway,Mottisfont & Dunbridge,DBG,51.0338154,-1.5466785
London Underground,London Underground,Shepherd's Bush Market,ZSB,51.50607,-0.2263134
National Rail;Elizabeth line,Great Western Railway,Maidenhead,MAI,51.5183532,-0.722846
National Rail;Elizabeth line,Elizabeth line,West Drayton,WDT,51.5097364,-0.4718293
London Underground,London Underground,Finchley Central,ZFC,51.6008355,-0.192318
National Rail,South Western Railway,Hedge End,HDE,50.9323988,-1.2944932
National Rail,West Midlands Trains (West Midlands Railway),Butlers Lane,BUL,52.5926207,-1.8383926
National Rail,East Midlands Railway,Kettering,KET,52.3934872,-0.7320452
National Rail,South Western Railway (Island Line),Ryde St John's Road,RYR,50.7241835,-1.1566159
National Rail,South Western Railway (Island Line),Brading,BDN,50.6783048,-1.1386031
National Rail,South Western Railway (Island Line),Smallbrook Junction,SAB,50.7114652,-1.1549982
National Rail,South Western Railway,Dean,DEN,51.0423679,-1.633916
National Rail,Transport for Wales,Lydney,LYD,51.7142815,-2.5304821
National Rail,South Western Railway,Botley,BOE,50.9163612,-1.2590525
National Rail,Great Western Railway,Culham,CUM,51.6538921,-1.2365761
National Rail,Great Western Railway,Appleford,APF,51.6394882,-1.2424741
National Rail,Southeastern,St Mary Cray,SMY,51.394738,0.1057186
National Rail,South Western Railway,Hamble,HME,50.8712423,-1.3289942
National Rail,Transport for Wales,Llandudno Junction,LLJ,53.2838623,-3.8086287
National Rail,Transport for Wales,Flint,FLN,53.2496833,-3.1324867
National Rail,Transport for Wales,Shotton,SHT,53.2136891,-3.0371817
National Rail,West Midlands Trains (London Northwestern Railway),Acton Bridge,ACB,53.2663135,-2.6027539
National Rail,Avanti West Coast,Carlisle,CAR,54.8902575,-2.9330473
National Rail,ScotRail,Carluke,CLU,55.7311168,-3.8489342
National Rail,ScotRail,Newton,NTN,55.8188409,-4.1335767
National Rail,Great Western Railway,Combe,CME,51.8326251,-1.3939977
National Rail,Great Western Railway,Shipton,SIP,51.8659832,-1.5926475
National Rail,Great Western Railway,Finstock,FIN,51.8528179,-1.4696045
National Rail,South Western Railway,Portchester,PTC,50.8488504,-1.125024
National Rail,Northern Trains,Settle,SET,54.0669551,-2.2808342
National Rail,West Midlands Trains (West Midlands Railway),Water Orton,WTO,52.5185309,-1.743655
National Rail,Greater Thameslink Railway,Mill Hill Broadway,MIL,51.6126689,-0.2488001
National Rail,Greater Thameslink Railway,Catford,CTF,51.4444696,-0.0261521
National Rail,South Western Railway,Cosham,CSA,50.8418849,-1.0673875
National Rail,Merseyrail,Ellesmere Port,ELP,53.2821114,-2.8960456
National Rail,Govia Thameslink Railway (Southern),Littlehaven,LVN,51.0793356,-0.3086034
National Rail,Govia Thameslink Railway (Southern),Faygate,FGT,51.0959458,-0.2630067
National Rail,Govia Thameslink Railway (Southern),Ifield,IFI,51.1155376,-0.2144647
National Rail,Gatwick Express,Gatwick Airport,GTW,51.1567346,-0.1609224
National Rail,Govia Thameslink Railway (Southern),Hassocks,HSK,50.9247179,-0.1457168
National Rail,Chiltern Railways,Islip,ISP,51.826163,-1.2376466
National Rail,Chiltern Railways,Bicester Village,BIT,51.8924126,-1.1493759
London Underground,London Underground,Sloane Square,ZSO,51.4922264,-0.1558767
National Rail,South Western Railway,Wokingham,WKM,51.4119036,-0.8429813
National Rail,Great Western Railway,Blackwater,BAW,51.3315657,-0.776776
National Rail,Great Western Railway,Ascott-under-Wychwood,AUW,51.8674576,-1.5639687
National Rail,South Western Railway,Netley,NTL,50.8750016,-1.3417907
National Rail,Transport for Wales,Helsby,HSB,53.2752889,-2.7711482
National Rail,Great Western Railway,Patchway,PWY,51.5258271,-2.5623447
National Rail,South Western Railway,Hinton Admiral,HNA,50.752603,-1.7136258
National Rail,Great Western Railway,Yate,YAE,51.5413993,-2.4321734
National Rail,South Western Railway,Fratton,FTN,50.7964461,-1.0732559
National Rail,Chiltern Railways,Bicester North,BCS,51.9032906,-1.149781
National Rail,Great Western Railway,Gomshall,GOM,51.2192418,-0.4422487
National Rail,Great Western Railway,Trowbridge,TRO,51.3200055,-2.2143313
National Rail,Govia Thameslink Railway (Southern),Ashurst,AHS,51.1284231,0.1526024
Docklands Light Railway,Docklands Light Railway,Cyprus,ZCQ,51.5084776,0.0639692
National Rail;London Underground;London Trams,South Western Railway,Wimbledon,WIM,51.4220252,-0.2052107
National Rail,Transport for Wales,Caldicot,CDT,51.5845063,-2.7597685
National Rail,East Midlands Railway,Stamford,SMD,52.647832,-0.4800873
London Underground,London Underground,Mansion House,ZMH,51.5118924,-0.0952228
National Rail,East Midlands Railway,Narborough,NBR,52.571375,-1.2028089
National Rail,Chiltern Railways,Northolt Park,NLT,51.5574778,-0.3594179
London Underground,London Underground,North Harrow,ZNH,51.5851618,-0.3631762
National Rail,Govia Thameslink Railway (Southern),Penshurst,PHR,51.1972733,0.1731809
National Rail,South Western Railway,Pokesdown,POK,50.7311874,-1.8267335
National Rail,South Western Railway,Parkstone,PKS,50.7229607,-1.9478482
National Rail,South Western Railway,Branksome,BSM,50.7270327,-1.9193721
National Rail,South Western Railway,Poole,POO,50.7193206,-1.98364
National Rail,South Western Railway,Holton Heath,HOL,50.7115682,-2.0776204
National Rail,Transport for Wales,Milford Haven,MFH,51.7157699,-5.0414474
National Rail,Transport for Wales,Johnston,JOH,51.7562757,-4.9967193
National Rail,Transport for Wales,Haverfordwest,HVF,51.8026795,-4.960232
National Rail,Transport for Wales,Fishguard Harbour,FGH,52.0106917,-4.986173
National Rail,Northern Trains,Styal,SYA,53.3482461,-2.2402077
National Rail,Transport for Wales,Chirk,CRK,52.9332472,-3.06615
National Rail,Transport for Wales,Ruabon,RUA,52.98724,-3.0433414
National Rail,Great Western Railway,Bourne End,BNE,51.5769144,-0.710798
National Rail,Transport for Wales,Clarbeston Road,CLR,51.851741,-4.8821559
London Underground;London Overground;National Rail,London Underground,Harrow & Wealdstone,HRW,51.5922178,-0.3348748
National Rail,West Midlands Trains (London Northwestern Railway),Kings Langley,KGL,51.7063008,-0.4379165
National Rail,Transport for Wales,Clunderwen,CUW,51.8401054,-4.7310195
National Rail,Transport for Wales,Whitland,WTL,51.818025,-4.6149893
National Rail,East Midlands Railway,Skegness,SKG,53.1431867,0.3345214
National Rail,East Midlands Railway,Havenhouse,HVN,53.1146157,0.2729912
National Rail,East Midlands Railway,Wainfleet,WFL,53.105157,0.2345795
National Rail,East Midlands Railway,Boston,BSN,52.978108,-0.0313195
National Rail,Govia Thameslink Railway (Southern),Reigate,REI,51.2418815,-0.2038369
National Rail,Transport for Wales,Kilgetty,KGT,51.7322009,-4.7143858
National Rail,Transport for Wales,Tenby,TEN,51.6729708,-4.7067395
National Rail,Transport for Wales,Penally,PNA,51.6589419,-4.7219994
National Rail,Transport for Wales,Manorbier,MRB,51.6602508,-4.7927577
National Rail,Transport for Wales,Lamphey,LAM,51.6671229,-4.8728813
National Rail,Transport for Wales,Pembroke,PMB,51.6730613,-4.9064447
National Rail,ScotRail,Wallyford,WAF,55.9404591,-3.0147883
National Rail,ScotRail,Longniddry,LND,55.9762365,-2.8886468
National Rail,ScotRail,Drem,DRM,56.0051337,-2.7853021
National Rail,ScotRail,Dunbar,DUN,55.9982113,-2.5136844
London Underground,London Underground,North Ealing,ZNE,51.5174885,-0.2887523
National Rail,West Midlands Trains (London Northwestern Railway),St Albans Abbey,SAA,51.7446585,-0.342528
National Rail,West Midlands Trains (London Northwestern Railway),Park Street,PKT,51.7256643,-0.3400687
National Rail,West Midlands Trains (London Northwestern Railway),Bricket Wood,BWO,51.7055662,-0.3591176
National Rail,West Midlands Trains (London Northwestern Railway),Garston,GSN,51.6865229,-0.3818122
National Rail,West Midlands Trains (London Northwestern Railway),Watford North,WFN,51.6750417,-0.3902879
National Rail,West Midlands Trains (London Northwestern Railway),How Wood,HWW,51.7173665,-0.3449434
National Rail,Transport for Wales,Carmarthen,CMN,51.8533058,-4.3057649
National Rail,Northern Trains,Alnmouth,ALM,55.392793,-1.6367716
National Rail,London North Eastern Railway,Berwick-upon-Tweed,BWK,55.7745555,-2.0105423
National Rail,Northern Trains,Chathill,CHT,55.5367261,-1.7066521
National Rail,Transport for Wales,Pembrey and Burry Port,PBY,51.6840593,-4.2489624
National Rail,Transport for Wales,Kidwelly,KWL,51.7343994,-4.3176545
National Rail,Transport for Wales,Llanelli,LLE,51.6737797,-4.1610727
National Rail,Transport for Wales,Ferryside,FYS,51.7682462,-4.3695963
National Rail,Transport for Wales,Port Talbot Parkway,PTA,51.5924394,-3.7817162
National Rail,Transport for Wales,Briton Ferry,BNF,51.6381217,-3.8199836
National Rail,Transport for Wales,Bridgend,BGN,51.5071098,-3.5752586
National Rail,Transport for Wales,Pyle,PYL,51.52536,-3.6976606
National Rail,Transport for Wales,Llanharan,LLR,51.5376296,-3.4416549
National Rail,Transport for Wales,Pontyclun,PYC,51.5238395,-3.3920553
National Rail,Transport for Wales,Aberystwyth,AYW,52.4138938,-4.0815468
National Rail,Transport for Wales,Borth,BRH,52.4909831,-4.0496662
National Rail,Transport for Wales,Dovey Junction,DVY,52.564764,-3.9237919
National Rail,Transport for Wales,Machynlleth,MCN,52.5951801,-3.8548131
National Rail,Govia Thameslink Railway (Southern),Brighton,BTN,50.8288602,-0.1407393
National Rail,Transport for Wales,Caersws,CWS,52.5161395,-3.4325953
National Rail,Transport for Wales,Newtown,NWT,52.5122378,-3.3114829
